"IndicatorCode","IndicatorName"
"E23_subnat_complete_bans_exist","Subnational advertising, promotion and sponsorship bans - at least one jurisdiction has a comprehensive ban in place"
"E24_internet_sales_ban","Ban on internet sales of tobacco products"
"E25_ban_display_pt_of_sale","Ban on display of tobacco products at points of sale"
"E26_direct_ad_fines","Law requires fines for violations of direct advertising bans"
"E27_indirect_ad_fines","Law requires fines for violations of indirect advertising bans"
"E3_compliance","Compliance of ban on advertising on local magazines and newspapers"
"E3_nat_print","Ban on advertising: Local magazines and newspapers"
"E4_intl_print","Ban on advertising: International magazines and newspapers"
"E5_billboards","Ban on advertising: Billboards and outdoor advertising"
"E5_compliance","Compliance of ban on advertising on billboards and outdoor advertising"
"E6_compliance","Compliance of ban on advertising at point of sale"
"E6_pt_of_sale","Ban on advertising: Point of sale"
"E6b_ban_display_pt_of_sale","Ban on display of tobacco products at points of sale"
"E7_internet","Ban on advertising: Internet"
"E9_compliance","Compliance of ban on free distribution of tobacco products in the mail or through other means"
"E9_free_distrib","Ban on free distribution of tobacco products in the mail or through other means"
"EC_direct_compliance","Compliance with bans on direct advertising"
"EC_indirect_compliance","Compliance with bans on promotion and sponsorship"
"EMFLIMITELECTRIC","Electric field (kV/m)"
"EMFLIMITELECTRICLF","Electric field (kV/m)"
"EMFLIMITELECTRICRF","Electric field (V/m)"
"EMFLIMITMAGNETIC","Magnetic flux density (microT)"
"EMFLIMITPOWERDENSITY","Power density (W/m^2)"
"EMFPOWERFREQUENCY","Power frequency (Hz)"
"EMFSAR","Specific absorption rate (SAR) (W/kg)"
"EMFSTANDARD","Existence of standards"
"EMFSTATUS","Legislative status"
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","Availability of estimates on large  health expenditures as a share of total expenditure or income"
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)"
"FINPROTECTION_CATA_TOT_10_LEVEL_SH","Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)"
"FINPROTECTION_CATA_TOT_10_POP","Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)"
"FINPROTECTION_CATA_TOT_25_LEVEL_MILLION","Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)"
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)"
"FINPROTECTION_CATA_TOT_25_POP","Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)"
"FINPROTECTION_IMP_NP_190_LEVEL_MILLION","Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions)"
"FINPROTECTION_IMP_NP_190_LEVEL_SH","Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%)"
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","Total population  pushed below the $3.10 a day  poverty line by household  health expenditures (millions)"
"FINPROTECTION_IMP_NP_310_LEVEL_SH","Total population  pushed below the $3.10 a day  poverty line by household  health expenditures (%)"
"FINPROTECTION_IMP_NP190_POP","Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%)"
"FINPROTECTION_IMP_NP310_POP","Population  pushed below the $3.10 a day  poverty line by household  health expenditures (%)"
"FINPROTECTION_IMP_PG_190_STD","Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)"
"FINPROTECTION_IMP_PG_310_STD","Increase in poverty gap due to household  health expenditures, expressed as a proportion of the 3.10 a-day poverty line (%)"
"FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE","Availability of estimates on impoverishment due to out-of-pocket health expenditures"
"fps","Demand for family planning satisfied - modern and traditional methods (%)"
"fpsmo","Demand for family planning satisfied - modern methods (%)"
"GBD_DALYRTAGE","Age-standardized DALYs (per 100,000)"
"GDO_q10x1","National regulator approval of anti-dementia medication"
"GDO_q10x1x1","Availability of generic anti-dementia medication"
"GDO_q10x1x2","Availability of at least one anti-dementia medication approved for on-label use reimbursement"
"GDO_q10x2_1AVAIL","Availability of atleast one adult hygiene products for people with dementia"
"GDO_q10x2_HOSUE","Availability of atleast one housing adjustment for people with dementia"
"GDO_q10x2_TECH","Availability of  atleast one assistive technology for people with dementia"
"GDO_q11x1","Existence of dementia national nongovernmental organization"
"GDO_q11x2x1","Dementia nongovernmental organization equipped with office"
"GDO_q11x2x2_1","Dementia nongovernmental organization office branches (Sub-national)"
"GDO_q11x2x2_2","Dementia nongovernmental organization office branches (Local)"
"GDO_q11x2x2_3","Dementia nongovernmental organization office branches (National only)"
"GDO_q11x2x3","Dementia nongovernmental organization staff primarily salaried/volunteer"
"GDO_q11x2x5","Provision of governmental funding to dementia nongovernmental organization for activities/services"
"GDO_q11x2x6","Dementia nongovernmental organization's involvement in policy development"
"GDO_q12x1","Existence of dementia carer support services"
"GDO_q12x1x1","Implementation level [national/subnational] of dementia carer support services"
"GDO_q12x1x2","Existence of dedicated resources for dementia carer support services"
"GDO_q12x1x3","Existence of implementation plan for dementia carer support services"
"GDO_q12x2_2","Existence of psycho-social supports for dementia carers"
"GDO_q12x2_3","Existence of respite care for dementia carers"
"GDO_q12x2_4","Existence of information on legal rights for dementia carers"
"GDO_q12x2_5","Existence of financial benefits/social protection for dementia carers"
"GDO_q12x2x1x1_1","Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q12x2x1x1_1NGO","Majority provider of dementia carer training and education (NGO)"
"GDO_q12x2x1x1_1PRV","Majority provider of dementia carer training and education (Private sector)"
"GDO_q12x2x1x1_1PUB","Majority provider of dementia carer training and education (Public sector)"
"GDO_q12x2x1x1_2","Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q12x2x1x1_2NGO","Majority provider of psycho-social supports for dementia carers (NGO)"
"GDO_q12x2x1x1_2PRV","Majority provider of psycho-social supports for dementia carers (Private sector)"
"GDO_q12x2x1x1_2PUB","Majority provider of psycho-social supports for dementia carers (Public sector)"
"GDO_q12x2x1x1_3","Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q12x2x1x1_3NGO","Majority provider of respite care for dementia carers (NGO)"
"GDO_q12x2x1x1_3PRV","Majority provider of respite care for dementia carers (Private sector)"
"GDO_q12x2x1x1_3PUB","Majority provider of respite care for dementia carers (Public sector)"
"GDO_q12x2x1x1_4","Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q12x2x1x1_4NGO","Majority provider of information on legal rights for dementia carers (NGO)"
"GDO_q12x2x1x1_4PRV","Majority provider of information on legal rights for dementia carers (Private sector)"
"GDO_q12x2x1x1_4PUB","Majority provider of information  on legal rights for dementia carers (Public sector)"
"GDO_q12x2x1x1_5","Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q12x2x1x1_5NGO","Majority provider of information on financial benefits/social protection for dementia carers (NGO)"
"GDO_q12x2x1x1_5PRV","Majority provider of information on financial benefits/social protection for dementia carers (Private sector)"
"GDO_q12x2x1x1_5PUB","Majority provider of information  on financial benefits/social protection for dementia carers (Public sector)"
"GDO_q12x2x1x3","Estimated number of dementia carers receiving training and education"
"GDO_q12x2x2x3","Estimated number of dementia carers receiving psycho-social supports"
"GDO_q12x2x3x3","Estimated number of dementia carers receiving respite care"
"GDO_q12x2x4x3","Estimated number of dementia carers receiving information on legal rights"
"GDO_q12x2x5x3","Estimated number of dementia carers receiving financial benefits/social protection"
"GDO_q13x1","Existence of at least one functioning dementia awareness campaign"
"GDO_q13x1x1","Implementation level [national/subnational] of dementia awareness campaign"
"GDO_q13x3","Existence of at least one functioning risk reduction campaign"
"GDO_q13x3x1","Implementation level [national/subnational] of dementia risk reduction campaign"
"GDO_q14x1","Availability of dementia-friendly initiatives that improve accessibility"
"GDO_q14x2_1","Existence of dementia-friendly initiative to improve accessibility of public spaces"
"GDO_q14x2_2","Existence of dementia-friendly initiative to improve accessibility of public transportation"
"GDO_q14x2_3","Existence of dementia-friendly initiative for assistance with home modification"
"GDO_q14x2_4","Existence of dementia-friendly initiative with assistive technology for loss of capacity"
"GDO_q14x2_5","Existence of dementia-friendly initiative supporting community places for older people"
"GDO_q14x2_6","Existence of dementia-friendly initiative supporting social opportunities"
"GDO_q15x1","Inclusion of dementia training and education for non-health workers"
"GDO_q15x2_1","Existence of dementia training for volunteers"
"GDO_q15x2_2","Existence of dementia training for police and fire services"
"GDO_q15x2_3","Existence of dementia training for first responders"
"GDO_q15x2_4","Existence of dementia training for legal professionals"
"GDO_q15x2_5","Existence of dementia training for community workers"
"GDO_q15x2_6","Existence of dementia training for school children"
"GDO_q15x2_7","Existence of dementia training for financial service staff"
"GDO_q15x2_8","Existence of dementia training for retail and hospitality staff"
"GDO_q16x1","Routine monitoring of people with dementia"
"GDO_q16x1x1_1","Data sources used to routinely monitor people with dementia (Clinical records)"
"GDO_q16x1x1_2","Data sources used to routinely monitor people with dementia (Household surveys)"
"GDO_q16x1x1_3","Data sources used to routinely monitor people with dementia (Administrative data)"
"GDO_q16x1x1_4","Data sources used to routinely monitor people with dementia (Facility survey or records)"
"GDO_q16x1x1_other","Data sources used to routinely monitor people with dementia (Other)"
"GDO_q16x1x2_1","Electronic availability of data sources used to routinely monitor people with dementia"
"GDO_q16x1x2_2","Data used to routinely monitor people with dementia can be disaggregated"
"GDO_q16x2_1","Availability of routine hospital admissions records for people with dementia for monitoring purposes"
"GDO_q16x2_2","Availability of routine outpatient visit records for people with dementia for monitoring purposes"
"GDO_q16x2_3","Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes"
"GDO_q16x2_4","Availability of routine pharmaceutical records for people with dementia for monitoring purposes"
"GDO_q16x2_5","Availability of routine antipsychotic prescription records for people with dementia for monitoring purposes"
"GDO_q16x3","Availability and status of dementia reporting in the past two years"
"GDO_q17x1","Existence of a current dementia research plan/programme"
"GDO_q17x1x1","Implementation level [national/subnational] of dementia research plan/programme"
"GDO_q17x2","Dementia integrated into other national research plan/programme"
"GDO_q17x2x1_1","Identification of other research plans in which dementia is integrated (Mental health)"
"GDO_q17x2x1_2","Identification of other research plans in which dementia is integrated (Ageing)"
"GDO_q17x2x1_3","Identification of other research plans in which dementia is integrated (Neuro or neurodegenerative disease)"
"GDO_q17x2x1_4","Identification of other research plans in which dementia is integrated (NCD)"
"GDO_q17x2x2","Implementation level [national/subnational] of research plan in which dementia is integrated"
"GDO_q18x2","Availability of funding for dementia-specific research plan/programme"
"GDO_q18x2x1_1","Total expenditure on dementia research (local currency, self-report)"
"GDO_q18x2x3_1","Total expenditure on dementia basic research (local currency, self-report)"
"GDO_q18x2x3_2","Total expenditure on dementia clinical/translational research (local currency, self-report)"
"GDO_q18x2x3_3","Total expenditure on dementia implementation research (local currency, self-report)"
"GDO_q19x2","Number of people with dementia involved in research routinely monitored"
"GDO_q19x3","Availability of investigational pharmaceutical trials for dementia"
"GDO_q19x3x1_1","Number of investigational pharmaceutical trials for dementia"
"GDO_q1x1","Inclusion of dementia in ministry portfolio"
"GDO_q1x1x1","Inclusion of dementia in a branch of government [health, ageing, social services, mental health, noncommunicable disease]"
"GDO_q1x2","Existence of dementia representative in ministry"
"GDO_q20","Total number of published dementia research output"
"GDO_q2x1","Existence of dementia national plan"
"GDO_q2x1x2","Availability of funding for dementia national plan"
"GDO_q2x1x3","Targets for monitoring implementation of dementia national plan"
"GDO_q2x2","Dementia integrated into other national plan"
"GDO_Q2x2x1_AGE","Identification of other plans in which dementia is integrated (Ageing)"
"GDO_Q2x2x1_DISAB","Identification of other plans in which dementia is integrated (Disability)"
"GDO_Q2x2x1_MENTAL","Identification of other plans in which dementia is integrated (Mental health)"
"GDO_Q2x2x1_NCD","Identification of other plans in which dementia is integrated (NCD)"
"GDO_q2x2x1_other","Identification of other plans in which dementia is integrated (Other)"
"GDO_q2x3","Existence of dementia sub-national plan(s)"
"GDO_q2x3x1_1","Percentage of sub-national regions covered by dementia plan"
"GDO_q2x4_1","Inclusion of human rights as a guiding principle of the dementia plan"
"GDO_q2x4_2","Inclusion of equity as a guiding principle of the dementia plan"
"GDO_q2x4_3","Inclusion of empowerment as a guiding principle of the dementia plan"
"GDO_q2x4_4","Inclusion of multisectoral collaboration as a guiding principles of the dementia plan"
"GDO_q2x4_5","Inclusion of universal health coverage as a guiding principle of the dementia plan"
"GDO_q2x5_1","Inclusion of dementia-friendly communities as a specific action of the dementia plan"
"GDO_q2x5_2","Inclusion of dementia risk reduction as a specific action of the dementia plan"
"GDO_q2x5_3","Inclusion of dementia diagnosis, care and support as a specific action of the dementia plan"
"GDO_q2x5_4","Inclusion of dementia workforce training as a specific action of the dementia plan"
"GDO_q2x5_5","Inclusion of support for dementia carers and families as a specific action of the dementia plan"
"GDO_q2x5_6","Inclusion of improved information system as a specific action of the dementia plan"
"GDO_q2x5_7","Inclusion of research and innovation as a specific action of the dementia plan"
"GDO_q35","Estimated population-based prevalence of depression"
"GDO_q3x1","Existence of dementia legislation"
"GDO_q3x1x1_1","Implementation level [national/subnational] of dementia legislation"
"GDO_q3x2","Existence of other laws that apply to the rights of people with dementia"
"GDO_q3x3a_1","Existence of legislation for supported decision making for people with dementia"
"GDO_q3x3a_2","Existence of legislation to file appeals protecting the rights of people with dementia"
"GDO_q3x3a_3","Existence of legislation to promote community-based services for people with dementia"
"GDO_q3x3a_4","Existence of legislation to promote monitoring of human rights conditions of people with dementia in facilities where they reside"
"GDO_q3x3b_1","Existence of legislation to end coercieve practices for people with dementia"
"GDO_q3x4_1","Existence of legislation for advanced care directives for people with dementia"
"GDO_q3x4_2","Existence of legislation to end discrimination against people with dementia"
"GDO_q3x4_3","Existence of legislation to end discrimination against carers of people with dementia"
"GDO_q4x1","Existence of dementia standards/ guidelines/ protocols"
"GDO_q4x1x1_SQ001","Implementation level of dementia standards/ guidelines/ protocols (National)"
"GDO_q4x1x1_SQ002","Implementation level of dementia standards/ guidelines/ protocols (Sub-national)"
"GDO_q4x1x2","Existence of approved government dementia standards/ guidelines/ protocols"
"GDO_q4x2_1","Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia"
"GDO_q4x2_2","Existence of standards/ guidelines/ protocols for diagnosis of dementia"
"GDO_q4x2_3","Existence of standards/ guidelines/ protocols for management of dementia"
"GDO_q4x2_4","Existence of standards/ guidelines/ protocols for other post-diagnostic supports of people with dementia"
"GDO_q4x2_5","Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia"
"GDO_q4x3x4_1","Existence of standards/ guidelines/ protocols for advance care directives, power of attorney or guardianship for people with dementia"
"GDO_q4x3x4_2","Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia"
"GDO_q4x3x4_3","Existence of standards/ guidelines/ protocols of care in nursing & residential care facilities for people with dementia"
"GDO_q4x3x4_4","Existence of standards/ guidelines/ protocols of care in hospital for people with dementia"
"GDO_q5x1","Availability of mechanisms to coordinate dementia care across sectors"
"GDO_q5x1x1_1","Identification of different sectors in dementia care coordination  (Health)"
"GDO_q5x1x1_2","Identification of different sectors in dementia care coordination (Social)"
"GDO_q5x1x1_3","Identification of different sectors in dementia care coordination (Education)"
"GDO_q5x1x1_4","Identification of different sectors in dementia care coordination (Employment)"
"GDO_q5x1x1_5","Identification of different sectors in dementia care coordination (Justice)"
"GDO_q5x1x1_6","Identification of different sectors in dementia care coordination (Housing)"
"GDO_q5x1x1_7","Identification of different sectors in dementia care coordination (Civil society)"
"GDO_q5x1x1_8","Identification of different sectors in dementia care coordination (Private sector)"
"GDO_q5x1x1_other","Identification of different sectors in dementia care coordination (Other)"
"GDO_q5x1x2","Implementation level [national/subnational] of dementia care coordination"
"GDO_q5x1x3","Presence of formal agreement/joint plan for dementia care coordination"
"GDO_q5x2","Availability of dementia care coordination standards/ guidelines/ protocols"
"GDO_q6x1_2","Number of neurologists (per 100,000)"
"GDO_q6x1_3","Number of geriatricians or psychogeriatricians (per 100,000)"
"GDO_q6x2_1","Inclusion of basic dementia competencies in training of physicians"
"GDO_q6x2_2","Inclusion of basic dementia competencies in training of specialists"
"GDO_q6x2_3","Inclusion of basic dementia competencies in training of nurses"
"GDO_q6x2_4","Inclusion of basic dementia competencies in training of pharmaceutical personnel"
"GDO_q6x2_5","Inclusion of basic dementia competencies in training of social workers"
"GDO_q6x2_6","Inclusion of basic dementia competencies in training of personal support workers"
"GDO_q7x1_AVAIL","Availability of dementia diagnostic rate"
"GDO_q8x1","Existence of community-based health or social care services for dementia"
"GDO_q8x2_1","Availability of diagnostic services in community for dementia"
"GDO_q8x2_2","Availability of behaviour and psychological management in community for dementia"
"GDO_q8x2_3","Availability of psychosocial and rehabilitation services in community for dementia"
"GDO_q8x2_4","Availability of activities of daily living support services in community for dementia"
"GDO_q8x2_5","Availability of palliative and end-of-life care services in community for dementia"
"GDO_q8x2_6","Availability of social and financial protection for dementia"
"GDO_q8x3_1","Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q8x3_2","Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q8x3_3","Accessibility of psychosocial and rehabilitation services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q8x3_4","Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q8x3_5","Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q8x3_6","Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
"GDO_q8x4_1","Majority provider of diagnostic services in community for dementia [public, private]"
"GDO_q8x4_2","Majority provider of behaviour and psychological management in community for dementia [public, private]"
"GDO_q8x4_3","Majority provider of psychosocial and rehabilitation services in community for dementia [public, private]"
"GDO_q8x4_4","Majority provider of activities of daily living support services in community for dementia [public, private]"
"GDO_q8x4_5","Majority provider of palliative and end-of-life care services in community for dementia [public, private]"
"GDO_q8x4_6","Majority provider of social and financial protection for dementia [public, private]"
"GDO_q8x5_2","Estimated number of people receiving behaviour and psychological management services in community for dementia"
"GDO_q8x5_3","Estimated number of people receiving psychosocial and rehabilitation services in community for dementia"
"GDO_q8x5_4","Estimated number of people receiving activities of daily living support services in community for dementia"
"GDO_q8x5_5","Estimated number of people receiving palliative and end-of-life care services in community for dementia"
"GDO_q8x5_6","Estimated number of people with dementia receiving social and financial protection for dementia"
"GDO_q9_1","Dementia care facilities [hospitals]"
"GDO_q9_2","Care facilities [long-term care]"
"GDO_q9_3","Care facilities [hospice centres]"
"GDO_q9_4","Adult day centres"
"GDO_q9_5","Outpatient health centres"
"GDO_q9_6","Outpatient social centres"
"GDO_q9x1_3","Dementia-specific hospital beds (per 10,000 population)"
"GDO_q9x1_4","Geriatric-specific hospital beds (per 10,000 population)"
"GDO_q9x1_5","Total dementia hospital admissions (per 100,000)"
"GDO_q9x1_7","Estimated percentage of hospitals following national dementia standards"
"GDO_q9x2_1","Density of residential long-term care facilities (per 100,000 population)"
"GDO_q9x2_2","Residential long-term care beds (per 10 000 population)"
"GDO_q9x2_3","Dementia-specific residential long-term care beds (per 10,000 population)"
"GDO_q9x2_4","Estimated number of people with dementia living in residential long-term care"
"GDO_q9x2_5","Estimated percentage of residential long-term care facilities following national dementia standards"
"GDO_q9x3_1","Density of hospice centres (per 100,000 population)"
"GDO_q9x3_2","Hospice centre beds (per 10 000 population)"
